1	1196
1	1122
1	1172
1	1211
1	1272
2	1336
1	1491
1	1179
1	1066
1	1134
1	1196
1	1048
1	1226
2	1250
1	1039
1	1496
1	1071
1	1022
1	1498
1	1273
1	1055
1	1213
1	1029
1	1077
1	1206
2	1430
2	1176
1	1367
1	1337
1	1313
2	1157
1	1262
2	1403
1	1018
1	1409
1	1461
2	1228
1	1224
1	1208
1	1244
1	1194
2	1374
1	1180
1	1280
1	1024
1	1273
1	1428
2	1254
1	1201
1	1481
1	1342
1	1202
1	1431
1	1079
1	1305
1	1013
1	1157
2	1306
1	1279
1	1366
1	1413
2	1236
1	1357
1	1363
1	1142
1	1089
1	1472
2	1472
1	1271
2	1098
1	1101
1	1411
2	1302
1	1249
1	1175
2	1475
2	1038
1	1440
1	1155
1	1199
1	1433
1	1096
2	1461
1	1224
1	1044
1	1065
1	1169
1	1130
2	1177
1	1403
2	1473
1	1138
1	1316
1	1316
1	1462
2	1237
1	1470
1	1028
1	1339
1	1313
2	1456
1	1491
2	1117
1	1431
2	1385
1	1457
1	1259
1	1123
1	1288
1	1133
1	1378
1	1153
1	1267
1	1332
1	1090
1	1400
1	1368
1	1240
1	1257
1	1208
1	1062
1	1375
1	1026
1	1479
1	1174
1	1209
1	1260
1	1392
2	1468
1	1337
2	1283
1	1490
1	1436
1	1376
1	1441
1	1406
1	1490
1	1325
1	1379
1	1379
2	1436
1	1268
1	1246
2	1297
1	1455
1	1036
2	1092
1	1220
1	1045
1	1316
1	1371
1	1419
1	1214
2	1446
1	1476
2	1169
1	1030
1	1328
1	1427
1	1395
1	1282
1	1243
2	1414
2	1083
1	1069
2	1227
1	1021
1	1426
1	1252
2	1041
1	1393
2	1380
1	1481
1	1463
1	1052
1	1021
2	1096
1	1008
1	1264
1	1079
1	1429
1	1050
1	1338
1	1498
1	1208
1	1276
1	1282
1	1087
1	1475
2	1193
2	1397
2	1496
1	1389
1	1005
1	1017
1	1342
1	1190
1	1111
1	1097
1	1171
1	1304
1	1221
1	1127
2	1136
1	1412
1	1418
1	1396
1	1455
1	1288
1	1150
1	1260
1	1067
1	1326
1	1088
1	1113
1	1477
2	1433
1	1272
1	1058
1	1488
2	1103
1	1153
1	1307
1	1102
1	1405
1	1059
2	1451
1	1183
1	1340
1	1280
1	1012
2	1073
1	1177
1	1318
1	1123
1	1328
1	1372
1	1032
2	1108
2	1450
1	1084
2	1038
1	1133
1	1389
1	1320
2	1409
2	1210
1	1500
1	1496
2	1455
